alpha,beta,evapRate,minCost_in_km_gens_total,elapsedTime_in_ms
1.5,5.0,0.3,675.0026165148776,1389741

gen,minCost_in_km_per_gen
129,700.7612821494128
130,695.9548163826248
131,689.1685867131781
132,707.2431522349941
133,695.83334335628
134,677.4341119783718
135,702.001349347023
136,694.8817551175969
137,696.8492535127109
138,694.8473995145487
139,699.3799112311258
140,702.6959540225503
141,693.6046575417084
142,688.5457736910093
143,694.9844517431372
144,699.018757887018
145,687.7484393619281
146,690.2924331101332
147,703.0949259199833
148,697.5555203825347
149,701.7088224264395
150,713.2132616429792
151,699.2759344803432
152,695.2712103418892
153,694.3734889056034
154,690.4467627969468
155,705.1581497584688
156,713.6285569299785
157,707.2531943060218
158,704.2654008660875
159,689.2797844362553
160,703.480061716582
161,700.6160246428495
162,704.6985300523731
163,704.740399129374
164,700.4406096172926
165,680.4280377065327
166,694.6086591703855
167,700.1318169147335
168,700.2961224851069
169,702.5934365397737
170,693.9087417585221
171,705.0067754584715
172,693.8558762542976
173,701.7867847338782
174,697.3320124975429
175,697.4376342307653
176,706.0840399184882
177,705.0617423081934
178,698.1486474108054
179,687.97419444647
180,696.7554723161772
181,692.5712445723527
182,691.2126120399683
183,700.4389158416213
184,689.9272759463718
185,701.1465251795754
186,685.5334537955064
187,691.5333031712489
188,685.689392501798
189,677.179250913101
190,689.7835865412956
191,688.8101071157228
192,691.3335978853734
193,682.8149983043085
194,678.6675498123319
195,689.1628342238596
196,698.5483034988769
197,692.419036806727
198,697.1603658930652
199,696.565810213799
200,678.7138370655301
201,697.5926906517518
202,699.2158752684584
203,682.3330808026802
204,697.9122727519746
205,677.550135851075
206,680.8597367369467
207,698.6188836411726
208,695.6070471028814
209,695.3098362489432
210,705.6913676459925
211,698.2084293634647
212,690.5439718285667
213,702.0613996999163
214,696.3884427302966
215,689.8586986146584
216,679.0684337759897
217,692.0405799478351
218,694.0224523044528
219,688.0374041759806
220,699.4910760181826
221,698.7010134452208
222,694.524295832687
223,697.7589526501241
224,685.9732628363053
225,684.4930208613507
226,693.2709971565545
227,686.7303007154298
228,690.3481031236043
229,701.4172489560365
230,701.9675541805024
231,693.1729810690779
232,701.962731562919
233,683.7692710469192
234,687.9832917852875
235,684.6078668477597
236,692.31736620545
237,693.4329879145121
238,703.2710042737654
239,685.081638132777
240,686.8923887317457
241,686.4572182487406
242,688.7875190062798
243,692.8021074563324
244,695.1123343537288
245,687.8612278075396
246,692.5318807281994
247,681.3956704398729
248,690.0845067724081
249,691.349793906695
250,700.6334862057719
251,693.998093259517
252,694.8896725499698
253,693.7915247431727
254,692.922248885123
255,688.1436119151052
256,710.4932016968016
257,681.1353846707495
258,702.192004439515
259,701.4822458206492
260,691.0129906498973
261,694.0271669512045
262,689.5758939100745
263,696.7012987661521
264,702.0924519616708
265,689.4704500657572
266,690.82975265637
267,684.7187816516273
268,690.9072837144186
269,686.1754198014672
270,687.5933847136117
271,690.589710152512
272,702.356612504106
273,688.3122411922579
274,700.2959093626794
275,696.5574400632682
276,687.6348520045882
277,689.5082824700235
278,694.4377701643291
279,682.8034435619765
280,687.5407932173398
281,693.5897053282423
282,676.1989767339006
283,698.1368190876101
284,686.5606727870478
285,690.0689522414604
286,693.5141848855362
287,704.5715305437043
288,691.5010730898755
289,697.9349597982387
290,692.973294017237
291,693.81743565055
292,683.5556054572073
293,694.0326471358626
294,689.7292838097702
295,696.1828732158557
296,690.7888147153153
297,693.2064955188445
